field,string,replacement
prefix,Oversize,""
prefix,Bibliography,""
prefix,Sixth Level,""
prefix,Obichere Collection,Obi
prefix,Icelandic,ICE
prefix,Temp,""
prefix,A.D. White,""
prefix,maps,Maps
suffix,Curriculum materials collection,Curri-culum
prefix,Dean Room,""
prefix,Rare Books,Rare
prefix,History of Science,Hist.Science
prefix,Icelandic,Icelandic Rare
prefix,Artists' Book Collection,""
prefix,Reading Room,RR
prefix,Bennett Collection,B.C.
prefix,Office,Libn. Office
prefix,Special Reserve,Spec.Res.
prefix,Indexes,INDEXES
prefix,Marshall Collection,Marshall
prefix,Safe,SAFE
prefix,A/V Reference,""
prefix,Popular Reading Area,POPULAR
